등록일시,총사망자,총확진자,기준일,기준시간,수정일시,누적의심자,누적확진율,일일사망자,일일확진자
2020-03-10 00:00:00.000,54,7513,20200310,00:00,2021-10-07 10:30:51.51,210144.0,3.919308057,0.0,0.0
2020-03-11 00:00:00.000,60,7755,20200311,00:00,2021-10-07 10:30:51.51,222395.0,3.804174536,6.0,242.0
2020-03-12 00:00:00.000,66,7869,20200312,00:00,2021-10-07 10:30:51.51,234998.0,3.621744273,6.0,114.0
2020-03-13 00:00:00.000,67,7979,20200313,00:00,2021-10-07 10:30:51.51,248647.0,3.458499309,1.0,110.0
2020-03-14 00:00:00.000,72,8086,20200314,00:00,2021-10-07 10:30:51.51,261335.0,3.318000336,5.0,107.0
2020-03-15 00:00:00.000,75,8162,20200315,00:00,2021-10-07 10:30:51.51,268212.0,3.239660237,3.0,76.0
2020-03-16 00:00:00.000,75,8236,20200316,00:00,2021-10-07 10:30:51.51,274504.0,3.173392208,0.0,74.0
2020-03-17 00:00:00.000,81,8320,20200317,00:00,2021-10-07 10:30:51.51,286716.0,3.088057901,6.0,84.0
2020-03-18 00:00:00.000,84,8413,20200318,00:00,2021-10-07 10:30:51.51,295647.0,3.012162506,3.0,93.0
2020-03-19 00:00:00.000,91,8565,20200319,00:00,2021-10-07 10:30:51.51,307024.0,2.942085738,7.0,152.0
2020-03-20 00:00:00.000,94,8652,20200320,00:00,2021-10-07 10:30:51.51,316664.0,2.873091828,3.0,87.0
2020-03-21 00:00:00.000,102,8799,20200321,00:00,2021-10-07 10:30:51.51,327509.0,2.82195603,8.0,147.0
2020-03-22 00:00:00.000,104,8897,20200322,00:00,2021-10-07 10:30:51.51,331780.0,2.804501324,2.0,98.0
2020-03-23 00:00:00.000,111,8961,20200323,00:00,2021-10-07 10:30:51.51,338036.0,2.762262336,7.0,64.0
2020-03-24 00:00:00.000,120,9037,20200324,00:00,2021-10-07 10:30:51.51,348582.0,2.712657065,9.0,76.0
2020-03-25 00:00:00.000,126,9137,20200325,00:00,2021-10-07 10:30:51.51,357896.0,2.659057442,6.0,100.0
2020-03-26 00:00:00.000,131,9241,20200326,00:00,2021-10-07 10:30:51.51,364942.0,2.635970254,5.0,104.0
2020-03-27 00:00:00.000,139,9332,20200327,00:00,2021-10-07 10:30:51.51,376961.0,2.579739151,8.0,91.0
2020-03-28 00:00:00.000,144,9478,20200328,00:00,2021-10-07 10:30:51.51,387925.0,2.552233541,5.0,146.0
2020-03-29 00:00:00.000,152,9583,20200329,00:00,2021-10-07 10:30:51.51,394141.0,2.527742388,8.0,105.0
2020-03-30 00:00:00.000,158,9661,20200330,00:00,2021-10-07 10:30:51.51,398902.0,2.506934876,6.0,78.0
2020-03-31 00:00:00.000,162,9786,20200331,00:00,2021-10-07 10:30:51.51,410564.0,2.485825764,4.0,125.0
2020-04-01 00:00:00.000,165,9887,20200401,00:00,2021-10-07 10:30:51.51,421547.0,2.441463644,3.0,101.0
2020-04-02 00:00:00.000,169,9976,20200402,00:00,2021-10-07 10:30:51.51,431743.0,2.410488622,4.0,89.0
2020-04-03 00:00:00.000,174,10062,20200403,00:00,2021-10-07 10:30:51.51,443273.0,2.371072072,5.0,86.0
2020-04-04 00:00:00.000,177,10156,20200404,00:00,2021-10-07 10:30:51.51,455032.0,2.33531392,3.0,94.0
2020-04-05 00:00:00.000,183,10237,20200405,00:00,2021-10-07 10:30:51.51,461233.0,2.317835811,6.0,81.0
2020-04-06 00:00:00.000,186,10284,20200406,00:00,2021-10-07 10:30:51.51,466804.0,2.298054341,3.0,47.0
2020-04-07 00:00:00.000,192,10331,20200407,00:00,2021-10-07 10:30:51.51,477304.0,2.262325524,6.0,47.0
2020-04-08 00:00:00.000,200,10384,20200408,00:00,2021-10-07 10:30:51.51,486003.0,2.218116182,8.0,53.0
2020-04-09 00:00:00.000,204,10423,20200409,00:00,2021-10-07 10:30:51.51,494711.0,2.175074395,4.0,39.0
2020-04-10 00:00:00.000,208,10450,20200410,00:00,2021-10-07 10:30:51.51,503051.0,2.142477853,4.0,27.0
2020-04-11 00:00:00.000,211,10480,20200411,00:00,2021-10-07 10:30:51.51,510479.0,2.111162368,3.0,30.0
2020-04-12 00:00:00.000,214,10512,20200412,00:00,2021-10-07 10:30:51.51,514621.0,2.098903227,3.0,32.0
2020-04-13 00:00:00.000,217,10537,20200413,00:00,2021-10-07 10:30:51.51,518743.0,2.08508129,3.0,25.0
2020-04-14 00:00:00.000,222,10564,20200414,00:00,2021-10-07 10:30:51.51,527438.0,2.060114628,5.0,27.0
2020-04-15 00:00:00.000,225,10591,20200415,00:00,2021-10-07 10:30:51.51,534552.0,2.038589022,3.0,27.0
2020-04-16 00:00:00.000,229,10613,20200416,00:00,2021-10-07 10:30:51.51,538775.0,2.023423901,4.0,22.0
2020-04-17 00:00:00.000,230,10635,20200417,00:00,2021-10-07 10:30:51.51,546463.0,1.998019828,1.0,22.0
2020-04-18 00:00:00.000,232,10653,20200418,00:00,2021-10-07 10:30:51.51,554834.0,1.968098078,2.0,18.0
2020-04-19 00:00:00.000,234,10661,20200419,00:00,2021-10-07 10:30:51.51,559109.0,1.949472083,2.0,8.0
2020-04-20 00:00:00.000,236,10674,20200420,00:00,2021-10-07 10:30:51.51,563035.0,1.937015247,2.0,13.0
2020-04-21 00:00:00.000,237,10683,20200421,00:00,2021-10-07 10:30:51.51,571014.0,1.913511364,1.0,9.0
2020-04-22 00:00:00.000,238,10694,20200422,00:00,2021-10-07 10:30:51.51,577959.0,1.88994023,1.0,11.0
2020-04-23 00:00:00.000,240,10702,20200423,00:00,2021-10-07 10:30:51.51,583971.0,1.865005786,2.0,8.0
2020-04-24 00:00:00.000,240,10708,20200424,00:00,2021-10-07 10:30:51.51,589520.0,1.846461581,0.0,6.0
2020-04-25 00:00:00.000,240,10718,20200425,00:00,2021-10-07 10:30:51.51,595161.0,1.829316166,0.0,10.0
2020-04-26 00:00:00.000,242,10728,20200426,00:00,2021-10-07 10:30:51.51,598285.0,1.820508208,2.0,10.0
2020-04-27 00:00:00.000,243,10738,20200427,00:00,2021-10-07 10:30:51.51,601660.0,1.811510464,1.0,10.0
2020-04-28 00:00:00.000,244,10752,20200428,00:00,2021-10-07 10:30:51.51,608514.0,1.794060179,1.0,14.0
2020-04-29 00:00:00.000,246,10761,20200429,00:00,2021-10-07 10:30:51.51,614197.0,1.776064962,2.0,9.0
2020-04-30 00:00:00.000,247,10765,20200430,00:00,2021-10-07 10:30:51.51,619881.0,1.761153838,1.0,4.0
2020-05-01 00:00:00.000,248,10774,20200501,00:00,2021-10-07 10:30:51.51,623069.0,1.753626397,1.0,9.0
2020-05-02 00:00:00.000,250,10780,20200502,00:00,2021-10-07 10:30:51.51,627562.0,1.741332911,2.0,6.0
2020-05-03 00:00:00.000,250,10793,20200503,00:00,2021-10-07 10:30:51.51,630973.0,1.734135623,0.0,13.0
2020-05-04 00:00:00.000,252,10801,20200504,00:00,2021-10-07 10:30:51.51,633921.0,1.726102486,2.0,8.0
2020-05-05 00:00:00.000,254,10804,20200505,00:00,2021-10-07 10:30:51.51,640237.0,1.711175063,2.0,3.0
2020-05-06 00:00:00.000,255,10806,20200506,00:00,2021-10-07 10:30:51.51,643095.0,1.701501844,1.0,2.0
2020-05-07 00:00:00.000,256,10810,20200507,00:00,2021-10-07 10:30:51.51,649388.0,1.686535332,1.0,4.0
2020-05-08 00:00:00.000,256,10822,20200508,00:00,2021-10-07 10:30:51.51,654863.0,1.675242571,0.0,12.0
2020-05-09 00:00:00.000,256,10840,20200509,00:00,2021-10-07 10:30:51.51,660030.0,1.665445238,0.0,18.0
2020-05-10 00:00:00.000,256,10874,20200510,00:00,2021-10-07 10:30:51.51,663886.0,1.663306606,0.0,34.0
2020-05-11 00:00:00.000,256,10909,20200511,00:00,2021-10-07 10:30:51.51,668492.0,1.658986876,0.0,35.0
2020-05-12 00:00:00.000,258,10936,20200512,00:00,2021-10-07 10:30:51.51,680890.0,1.645600096,2.0,27.0
2020-05-13 00:00:00.000,259,10962,20200513,00:00,2021-10-07 10:30:51.51,695920.0,1.62078005,1.0,26.0
2020-05-15 00:00:00.000,260,11018,20200515,00:00,2021-10-07 10:30:51.51,726747.0,1.558698039,1.0,56.0
2020-05-16 00:00:00.000,262,11037,20200516,00:00,2021-10-07 10:30:51.51,740645.0,1.528031211,2.0,19.0
2020-05-17 00:00:00.000,262,11050,20200517,00:00,2021-10-07 10:30:51.51,747653.0,1.513713145,0.0,13.0
2020-05-18 00:00:00.000,263,11065,20200518,00:00,2021-10-07 10:30:51.51,753211.0,1.501116511,1.0,15.0
2020-05-19 00:00:00.000,263,11078,20200519,00:00,2021-10-07 10:30:51.51,765574.0,1.479732158,0.0,13.0
2020-05-20 00:00:00.000,263,11110,20200520,00:00,2021-10-07 10:30:51.51,776433.0,1.461684397,0.0,32.0
2020-05-21 00:00:00.000,264,11122,20200521,00:00,2021-10-07 10:30:51.51,788684.0,1.443300307,1.0,12.0
2020-05-22 00:00:00.000,264,11142,20200522,00:00,2021-10-07 10:30:51.51,802418.0,1.42456772,0.0,20.0
2020-05-23 00:00:00.000,266,11165,20200523,00:00,2021-10-07 10:30:51.51,814420.0,1.408209109,2.0,23.0
2020-05-24 00:00:00.000,266,11190,20200524,00:00,2021-10-07 10:30:51.51,820289.0,1.398826935,0.0,25.0
2020-05-25 00:00:00.000,267,11206,20200525,00:00,2021-10-07 10:30:51.51,826437.0,1.388001209,1.0,16.0
2020-05-26 00:00:00.000,269,11225,20200526,00:00,2021-10-07 10:30:51.51,839475.0,1.373204589,2.0,19.0
2020-05-27 00:00:00.000,269,11265,20200527,00:00,2021-10-07 10:30:51.51,852876.0,1.354267475,0.0,40.0
2020-05-28 00:00:00.000,269,11344,20200528,00:00,2021-10-07 10:30:51.51,868666.0,1.340429353,0.0,79.0
2020-05-29 00:00:00.000,269,11402,20200529,00:00,2021-10-07 10:30:51.51,885120.0,1.324946576,0.0,58.0
2020-05-30 00:00:00.000,269,11441,20200530,00:00,2021-10-07 10:30:51.51,902901.0,1.305151819,0.0,39.0
2020-05-31 00:00:00.000,270,11468,20200531,00:00,2021-10-07 10:30:51.51,910822.0,1.292128248,1.0,27.0
2020-06-01 00:00:00.000,271,11503,20200601,00:00,2021-10-07 10:30:51.51,921391.0,1.281909837,1.0,35.0
2020-06-02 00:00:00.000,272,11541,20200602,00:00,2021-10-07 10:30:51.51,939851.0,1.266948357,1.0,38.0
2020-06-03 00:00:00.000,273,11590,20200603,00:00,2021-10-07 10:30:51.51,956852.0,1.247595499,1.0,49.0
2020-06-04 00:00:00.000,273,11629,20200604,00:00,2021-10-07 10:30:51.51,973858.0,1.229724457,0.0,39.0
2020-06-05 00:00:00.000,273,11668,20200605,00:00,2021-10-07 10:30:51.51,990960.0,1.212645267,0.0,39.0
2020-06-06 00:00:00.000,273,11719,20200606,00:00,2021-10-07 10:30:51.51,1005305.0,1.199057452,0.0,51.0
2020-06-07 00:00:00.000,273,11776,20200607,00:00,2021-10-07 10:30:51.51,1012769.0,1.193971741,0.0,57.0
2020-06-08 00:00:00.000,273,11813,20200608,00:00,2021-10-07 10:30:51.51,1018214.0,1.188621911,0.0,37.0
2020-06-09 00:00:00.000,274,11851,20200609,00:00,2021-10-07 10:30:51.51,1035997.0,1.175067276,1.0,38.0
2020-06-10 00:00:00.000,276,11901,20200610,00:00,2021-10-07 10:30:51.51,1051972.0,1.160225357,2.0,50.0
2020-06-11 00:00:00.000,276,11946,20200611,00:00,2021-10-07 10:30:51.51,1066888.0,1.147116269,0.0,45.0
2020-06-12 00:00:00.000,277,12002,20200612,00:00,2021-10-07 10:30:51.51,1081486.0,1.135217859,1.0,56.0
2020-06-13 00:00:00.000,277,12050,20200613,00:00,2021-10-07 10:30:51.51,1094704.0,1.124747049,0.0,48.0
