종목명,현재가,전일대비,등락률
삼성전자,"59,800",상승 600,+1.01%
SK하이닉스,"240,000","상승 9,500",+4.12%
삼성바이오로직스,"1,040,000",보합,0.00%
LG에너지솔루션,"291,500","상승 3,000",+1.04%
한화에어로스페이스,"911,000","하락 25,000",-2.67%
KB금융,"107,700","하락 3,200",-2.89%
현대차,"200,500","상승 3,500",+1.78%
삼성전자우,"49,150",상승 150,+0.31%
기아,"96,700","상승 2,200",+2.33%
HD현대중공업,"418,000","하락 9,000",-2.11%
셀트리온,"162,000",하락 200,-0.12%
두산에너빌리티,"50,900","상승 2,900",+6.04%
NAVER,"201,000","상승 1,000",+0.50%
신한지주,"59,600","하락 1,300",-2.13%
삼성물산,"173,600","상승 7,300",+4.39%
