종목명,현재가,전일대비,등락률
강스템바이오텍,"1,725",하락 -360,-17.27%
링크솔루션,"23,000","하락 -3,250",-12.38%
한송네오텍,46,하락 -6,-11.54%
티와이홀딩스우,"5,490",하락 -490,-8.19%
콘텐트리중앙,"12,510",하락 -970,-7.20%
노머스,"30,200","하락 -2,150",-6.65%
비상교육,"7,160",하락 -510,-6.65%
SAMG엔터,"70,700","하락 -5,000",-6.61%
한울앤제주,"2,510",하락 -170,-6.34%
DH오토웨어,811,하락 -53,-6.13%
에이비온,"4,800",하락 -310,-6.07%
대신 인버스 2X 코스닥 150 선물 ETN,"5,525",하락 -350,-5.96%
금호전기,"1,159",하락 -73,-5.93%
KB 인버스 2X KOSDAQ 150 선물 ETN,"5,505",하락 -340,-5.82%
하나 인버스 2X 코스닥150 선물 ETN,"5,560",하락 -340,-5.76%
