종목명,현재가,전일대비,등락률
실리콘투,"62,300","상승 10,500",+20.27%
한화솔루션,"36,950","상승 5,850",+18.81%
에이디테크놀로지,"19,030","상승 2,710",+16.61%
HPSP,"27,450","상승 3,300",+13.66%
메디포스트,"11,580","상승 1,350",+13.20%
한솔케미칼,"157,700","상승 18,000",+12.88%
디앤디파마텍,"96,000","상승 10,600",+12.41%
해성디에스,"23,700","상승 2,400",+11.27%
원익IPS,"26,650","상승 2,650",+11.04%
젬백스,"59,600","상승 5,400",+9.96%
비에이치아이,"41,250","상승 3,550",+9.42%
디아이,"17,330","상승 1,450",+9.13%
피에스케이홀딩스,"36,000","상승 3,000",+9.09%
넥스트바이오메디컬,"47,700","상승 3,900",+8.90%
심텍,"23,400","상승 1,900",+8.84%
