종목명,현재가,전일대비,등락률
삼성전자,"59,850",상승 650,+1.10%
SK하이닉스,"240,000","상승 9,500",+4.12%
삼성바이오로직스,"1,041,000","상승 1,000",+0.10%
LG에너지솔루션,"292,000","상승 3,500",+1.21%
한화에어로스페이스,"911,000","하락 25,000",-2.67%
KB금융,"107,800","하락 3,100",-2.80%
현대차,"200,500","상승 3,500",+1.78%
기아,"96,700","상승 2,200",+2.33%
HD현대중공업,"417,500","하락 9,500",-2.22%
셀트리온,"161,900",하락 300,-0.18%
두산에너빌리티,"51,000","상승 3,000",+6.25%
NAVER,"201,000","상승 1,000",+0.50%
신한지주,"59,700","하락 1,200",-1.97%
삼성물산,"173,500","상승 7,200",+4.33%
현대모비스,"288,000","상승 13,000",+4.73%
