번호,공시대상회사,보고서명,제출인,접수일자,비고,url
1,유  SK텔레콤,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],SK텔레콤,2025.05.30,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250107000031
2,유  SK텔레콤,기업지배구조보고서공시,SK텔레콤,2025.05.30,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250107000027
3,유  SK텔레콤,분기보고서 (2025.03),SK텔레콤,2025.05.15,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250103000241
4,유  SK텔레콤,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤,2025.05.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241224800078
5,유  SK텔레콤,영업(잠정)실적(공정공시),SK텔레콤,2025.05.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241223800726
6,유  SK텔레콤,주요사항보고서(자기주식처분결정),SK텔레콤,2025.05.02,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241220000179
7,유  SK텔레콤,기업설명회(IR)개최(안내공시),SK텔레콤,2025.05.02,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241220000178
8,유  SK텔레콤,기타경영사항(자율공시),SK텔레콤,2025.05.02,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241220000177
9,유  SK텔레콤,임원ㆍ주요주주특정증권등소유상황보고서,김창보,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241220000176
10,유  SK텔레콤,임원ㆍ주요주주특정증권등소유상황보고서,노미경,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241218800334
11,유  SK텔레콤,임원ㆍ주요주주특정증권등소유상황보고서,오혜연,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241211000312
12,유  SK텔레콤,임원ㆍ주요주주특정증권등소유상황보고서,김준모,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241211000001
13,유  SK텔레콤,임원ㆍ주요주주특정증권등소유상황보고서,김용학,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241210000554
14,유  SK텔레콤,자기주식처분결과보고서,SK텔레콤,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241202000100
15,유  SK텔레콤,해외증권거래소등에신고한사업보고서등의국내신고,SK텔레콤,2025.04.30,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241114002758
