번호,공시대상회사,보고서명,제출인,접수일자,비고,url
1,유  SK하이닉스,기업지배구조보고서공시,SK하이닉스,2025.05.30,유,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250530800841
2,유  SK하이닉스,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],SK하이닉스,2025.05.30,공,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250530000764
3,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,조훈,2025.05.28,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250528000635
4,유  SK하이닉스,분기보고서 (2025.03),SK하이닉스,2025.05.15,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250515002103
5,유  SK하이닉스,자기주식처분결과보고서,SK하이닉스,2025.04.28,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250428000526
6,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,홍성관,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000615
7,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,허황,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000606
8,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,한은석,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000599
9,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,최진택,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000594
10,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,최준,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000586
11,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,최영현,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000582
12,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,최광문,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000581
13,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,지운혁,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000578
14,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,조명관,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000572
15,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,정상규,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000571
16,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,전유남,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000567
17,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,장태수,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000560
18,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이태학,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000556
19,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이정석,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000551
20,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이일훈,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000548
21,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이송만,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000545
22,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이상영,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000543
23,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이상락,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000541
24,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,이규제,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000536
25,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,오훈상,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000532
26,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,오정환,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000527
27,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,오동연,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000522
28,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,심재성,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000516
29,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,신정호,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000510
30,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,신승아,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000504
31,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,송준호,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000501
32,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,손승형,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000494
33,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,박찬하,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000490
34,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,박성계,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000487
35,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,문승훈,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000481
36,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,류성수,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000474
37,유  SK하이닉스,임원ㆍ주요주주특정증권등소유상황보고서,류병훈,2025.04.25,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250425000465
