번호,공시대상회사,보고서명,제출인,접수일자,비고,url
1,유  기아,기업설명회(IR)개최(안내공시),기아,2025.06.13,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250613800080
2,유  기아,자기주식취득결과보고서,기아,2025.06.11,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250611000371
3,유  기아,영업(잠정)실적(공정공시),기아,2025.06.02,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250602800536
4,유  기아,기업지배구조보고서공시,기아,2025.05.30,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530800863
5,유  기아,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],기아,2025.05.30,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530001577
6,유  기아,기업설명회(IR)개최(안내공시),기아,2025.05.26,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250526800341
7,유  기아,기업설명회(IR)개최(안내공시),기아,2025.05.22,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250522800052
8,유  기아,분기보고서 (2025.03),기아,2025.05.15,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515001947
9,유  기아,특수관계인으로부터기타유가증권매수,기아,2025.05.12,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250512000657
10,유  기아,기업설명회(IR)개최(안내공시),기아,2025.05.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250512800094
11,유  기아,기업설명회(IR)개최(안내공시),기아,2025.05.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250512800093
12,유  기아,기업설명회(IR)개최(안내공시),기아,2025.05.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250512800092
13,유  기아,영업(잠정)실적(공정공시),기아,2025.05.02,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250502800260
14,유  기아,기업설명회(IR)개최(안내공시),기아,2025.04.25,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425800734
15,유  기아,[기재정정]연결재무제표기준영업(잠정)실적(공정공시),기아,2025.04.25,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425800707
16,유  기아,특수관계인에대한출자,기아,2025.04.25,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425000726
17,유  기아,공정거래자율준수프로그램운영현황(안내공시),기아,2025.04.25,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425800346
18,유  기아,약관에의한금융거래시계열금융회사의거래상대방의공시,기아,2025.04.25,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425000479
19,유  기아,특수관계인과의내부거래,기아,2025.04.25,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425000472
20,유  기아,기업설명회(IR)개최(안내공시),기아,2025.04.21,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250421800134
21,유  기아,임원ㆍ주요주주특정증권등소유상황보고서,정원정,2025.04.16,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250416000248
22,유  기아,기업설명회(IR)개최(안내공시),기아,2025.04.14,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250414800339
23,유  기아,특수관계인으로부터기타유가증권매수,기아,2025.04.11,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250411003042
24,유  기아,장래사업ㆍ경영계획(공정공시),기아,2025.04.09,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250409800223
25,유  기아,영업(잠정)실적(공정공시),기아,2025.04.01,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250401800420
26,유  기아,특수관계인으로부터기타유가증권매수,기아,2025.03.26,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250326001132
27,유  기아,특수관계인으로부터기타유가증권매수,기아,2025.03.24,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324000730
28,유  기아,[기재정정]주요사항보고서(자기주식취득결정),기아,2025.03.14,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001646
29,유  기아,사외이사의선임ㆍ해임또는중도퇴임에관한신고,기아,2025.03.14,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001029
30,유  기아,정기주주총회결과,기아,2025.03.14,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314801095
