번호,공시대상회사,보고서명,제출인,접수일자,비고,url
1,유  삼성전자,최대주주등소유주식변동신고서,삼성전자,2025.06.04,유,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250604800428
2,유  삼성전자,대규모기업집단현황공시[연1회(동일인용)],이재용,2025.06.02,공,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250602000137
3,유  삼성전자,대규모기업집단현황공시[연1회공시및1/4분기용(대표회사)],삼성전자,2025.06.02,공,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250602000112
4,유  삼성전자,기업지배구조보고서공시,삼성전자,2025.05.30,유,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250530801005
5,유  삼성전자,자기주식처분결과보고서,삼성전자,2025.05.28,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250528000650
6,유  삼성전자,주식등의대량보유상황보고서(일반),삼성물산,2025.05.23,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250523000612
7,유  삼성전자,주요사항보고서(자기주식처분결정),삼성전자,2025.05.23,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250523000601
8,유  삼성전자,자기주식취득결과보고서,삼성전자,2025.05.16,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250516000403
9,유  삼성전자,주식등의대량보유상황보고서(일반),삼성물산,2025.05.16,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250516000386
10,유  삼성전자,동일인등출자계열회사와의상품ㆍ용역거래변경,삼성전자,2025.05.15,공,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250515002447
11,유  삼성전자,동일인등출자계열회사와의상품ㆍ용역거래변경,삼성전자,2025.05.15,공,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250515002395
12,유  삼성전자,동일인등출자계열회사와의상품ㆍ용역거래변경,삼성전자,2025.05.15,공,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250515002341
13,유  삼성전자,분기보고서 (2025.03),삼성전자,2025.05.15,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250515001922
14,유  삼성전자,최대주주등소유주식변동신고서,삼성전자,2025.05.09,유,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250509800786
15,유  삼성전자,주식등의대량보유상황보고서(일반),삼성물산,2025.05.09,,https://dart.fss.or.kr//dsaf001/main.do?rcpNo=20250509000826
