번호,공시대상회사,보고서명,제출인,접수일자,비고,url
1,유  한화오션,[기재정정]단일판매ㆍ공급계약체결,한화오션,2025.06.05,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250605800294
2,유  한화오션,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],한화오션,2025.05.30,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530002512
3,유  한화오션,기업지배구조보고서공시,한화오션,2025.05.30,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530800974
4,유  한화오션,특수관계인과의보험거래,한화오션,2025.05.20,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250520000232
5,유  한화오션,[기재정정]단일판매ㆍ공급계약체결,한화오션,2025.05.15,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515801193
6,유  한화오션,동일인등출자계열회사와의상품ㆍ용역거래변경,한화오션,2025.05.14,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250514000683
7,유  한화오션,분기보고서 (2025.03),한화오션,2025.05.13,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250513000657
8,유  한화오션,특수관계인과의내부거래,한화오션,2025.05.08,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250508000493
9,유  한화오션,임원ㆍ주요주주특정증권등소유상황보고서,한국산업은행,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250430001341
10,유  한화오션,주식등의대량보유상황보고서(일반),한화에어로스페이스,2025.04.30,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250430001323
11,유  한화오션,신규시설투자등,한화오션,2025.04.28,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250428800409
12,유  한화오션,신규시설투자등,한화오션,2025.04.28,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250428800407
13,유  한화오션,연결재무제표기준영업(잠정)실적(공정공시),한화오션,2025.04.28,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250428800259
14,유  한화오션,단일판매ㆍ공급계약체결,한화오션,2025.04.28,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250428800105
15,유  한화오션,[기재정정]기타경영사항(자율공시),한화오션,2025.04.25,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425800544
16,유  한화오션,풍문또는보도에대한해명(미확정),한화오션,2025.04.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800749
17,유  한화오션,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,한화오션,2025.04.21,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250421000448
18,유  한화오션,[기재정정]금전대여결정,한화오션,2025.04.16,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250416800606
19,유  한화오션,기업설명회(IR)개최(안내공시),한화오션,2025.04.14,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250414800445
20,유  한화오션,결산실적공시예고(안내공시),한화오션,2025.04.14,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250414800437
21,유  한화오션,풍문또는보도에대한해명,한화오션,2025.04.11,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250411800300
22,유  한화오션,특수관계인과의내부거래,한화오션,2025.04.03,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250403002916
23,유  한화오션,단일판매ㆍ공급계약체결,한화오션,2025.04.01,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250401800363
24,유  한화오션,[기재정정]단일판매ㆍ공급계약체결,한화오션,2025.03.27,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250327801173
25,유  한화오션,주식등의대량보유상황보고서(일반),한화에어로스페이스,2025.03.26,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250326001278
26,유  한화오션,[기재정정]특수관계인과의내부거래,한화오션,2025.03.21,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001668
27,유  한화오션,[기재정정]특수관계인과의내부거래,한화오션,2025.03.21,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001610
28,유  한화오션,약관에의한금융거래시계열금융회사의거래상대방의공시,한화오션,2025.03.21,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001560
29,유  한화오션,동일인등출자계열회사와의상품ㆍ용역거래,한화오션,2025.03.21,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001540
30,유  한화오션,[기재정정]타인에대한채무보증결정,한화오션,2025.03.20,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320802120
31,유  한화오션,사외이사의선임ㆍ해임또는중도퇴임에관한신고,한화오션,2025.03.20,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001495
32,유  한화오션,정기주주총회결과,한화오션,2025.03.20,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320801784
33,유  한화오션,[기재정정]단일판매ㆍ공급계약체결,한화오션,2025.03.18,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318800716
34,유  한화오션,[기재정정]사업보고서 (2024.12),한화오션,2025.03.14,연,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001630
35,유  한화오션,임원ㆍ주요주주특정증권등소유상황보고서,HanwhaImpactPartnersINC.,2025.03.13,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001242
36,유  한화오션,임원ㆍ주요주주특정증권등소유상황보고서,한화에어로스페이스,2025.03.13,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001219
37,유  한화오션,최대주주등소유주식변동신고서,한화오션,2025.03.13,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313802028
38,유  한화오션,주식등의대량보유상황보고서(일반),한화에어로스페이스,2025.03.13,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001187
39,유  한화오션,감사보고서제출,한화오션,2025.03.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312801310
40,유  한화오션,대규모기업집단현황공시[분기별공시(개별회사용)],한화오션,2025.02.28,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250228005625
41,유  한화오션,단일판매ㆍ공급계약체결,한화오션,2025.02.25,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250225800348
42,유  한화오션,증권발행실적보고서,한화오션,2025.02.19,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250219001511
43,유  한화오션,투자설명서,한화오션,2025.02.19,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250219000008
44,유  한화오션,[발행조건확정]증권신고서(채무증권),한화오션,2025.02.18,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250218001689
45,유  한화오션,특수관계인과의내부거래,한화오션,2025.02.18,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250218001650
