번호,공시대상회사,보고서명,제출인,접수일자,비고,url
1,유  현대자동차,특수관계인으로부터기타유가증권매수,현대자동차,2025.06.11,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250611000530
2,유  현대자동차,대규모기업집단현황공시[연1회(동일인용)],정의선,2025.06.02,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250602001017
3,유  현대자동차,[기재정정]대규모기업집단현황공시[연1회공시및1/4분기용(대표회사)],현대자동차,2025.06.02,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250602000942
4,유  현대자동차,영업(잠정)실적(공정공시),현대자동차,2025.06.02,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250602800450
5,유  현대자동차,기업지배구조보고서공시,현대자동차,2025.05.30,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530800729
6,유  현대자동차,특수관계인으로부터기타유가증권매수,현대자동차,2025.05.20,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250520000329
7,유  현대자동차,분기보고서 (2025.03),현대자동차,2025.05.15,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250515001159
8,유  현대자동차,기업설명회(IR)개최(안내공시),현대자동차,2025.05.13,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250513800248
9,유  현대자동차,기업설명회(IR)개최(안내공시),현대자동차,2025.05.12,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250512800655
10,유  현대자동차,특수관계인으로부터기타유가증권매수,현대자동차,2025.05.09,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250509000632
11,유  현대자동차,영업(잠정)실적(공정공시),현대자동차,2025.05.02,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250502800359
12,유  현대자동차,특수관계인으로부터기타유가증권매수,현대자동차,2025.04.25,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250425000777
13,유  현대자동차,공정거래자율준수프로그램운영현황(안내공시),현대자동차,2025.04.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800762
14,유  현대자동차,특수관계인과의내부거래,현대자동차,2025.04.24,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000536
15,유  현대자동차,약관에의한금융거래시계열금융회사의거래상대방의공시,현대자동차,2025.04.24,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000531
16,유  현대자동차,[기재정정]현금ㆍ현물배당결정,현대자동차,2025.04.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800746
17,유  현대자동차,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,현대자동차,2025.04.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800337
18,유  현대자동차,주식소각결정,현대자동차,2025.04.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800336
19,유  현대자동차,연결재무제표기준영업(잠정)실적(공정공시),현대자동차,2025.04.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424800330
20,유  현대자동차,기업설명회(IR)개최(안내공시),현대자동차,2025.04.17,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250417800626
21,유  현대자동차,특수관계인으로부터기타유가증권매수,현대자동차,2025.04.01,공,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250401004096
22,유  현대자동차,영업(잠정)실적(공정공시),현대자동차,2025.04.01,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250401800590
23,유  현대자동차,최대주주등소유주식변동신고서,현대자동차,2025.03.24,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324800995
24,유  현대자동차,임원ㆍ주요주주특정증권등소유상황보고서,Tan Seck Yew Benjamin,2025.03.24,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324000679
25,유  현대자동차,임원ㆍ주요주주특정증권등소유상황보고서,Jim Myong Doh,2025.03.24,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324000655
26,유  현대자동차,임원ㆍ주요주주특정증권등소유상황보고서,김수이,2025.03.24,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324000627
27,유  현대자동차,주식등의대량보유상황보고서(일반),현대모비스,2025.03.24,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250324000608
28,유  현대자동차,기업설명회(IR)개최(안내공시),현대자동차,2025.03.21,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321800269
29,유  현대자동차,기타경영사항(자율공시) (분기배당기준일 안내),현대자동차,2025.03.20,유,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320801770
30,유  현대자동차,사외이사의선임ㆍ해임또는중도퇴임에관한신고,현대자동차,2025.03.20,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001116
